title,year
The English Patient,1996
Erin Brockovich,2000
Escape Plan,2013
Escape Room,2019
Escape Room: Tournament of Champions,2021
Eternal Sunshine of the Spotless Mind,2004
Everest,2015
Evil Dead 2,1987
Ex Machina,2015
The Expendables,2010
The Expendables 2,2012
Eye In the Sky,2016
Fall,2022
The Family Stone,2005
Fantastic Beasts and Where to Find Them,2017
Fantastic Beasts: The Crimes of Grindelwald,2018
Fantastic Beasts: The Secrets of Dumbledore,2022
Fantasy Island,2020
Fast & Furious 6,2013
The Fast and the Furious,2001
The Fast and the Furious: Tokyo Drift,2006
The Fate of the Furious,2017
Fear of Rain,2021
Ferris Bueller's Day Off,1986
Fiddler On the Roof,1971
The Fifth Element,1997
Fifty Shades Darker,2017
Fifty Shades Freed,2018
Fifty Shades of Grey,2015
Fight Club,1999
The Fighter,2010
Final Destination,2000
Final Destination 2,2003
Final Destination 3,2021
The Final Destination 4,2009
Final Destination 5,2011
Final Destination Bloodlines,2025
Finding Nemo,2003
First Man,2018
The First Purge,2018
Five Feet Apart,2019
Flight,2012
Flightplan,2006
Footloose,1984
Ford v Ferrari,2019
The Forest,2016
Forrest Gump,1994
Freaky,2020
Free Guy,2021
Free State of Jones,2016
Friday,1995
Friday the 13th,1980
Frozen,2013
Frozen II,2019
The Fugitive,1993
Furiosa: A Mad Max Saga,2024
Furious 7,2015
G.I. Joe: Retaliation,2013
G.I. Joe: The Rise of Cobra,2009
The Gambler,2014
Game Night,2018
Gangs of New York,2002
Gemini Man,2019
The Gentlemen,2020
Gentlemen Prefer Blondes,1953
Geostorm,2017
Get Him to the Greek,2010
Get Out,2017
Ghost,1990
Ghost in the Shell,2017
A Ghost Story,2017
Ghostbusters,1984
Ghostbusters,2016
Ghostbusters II,1989
Ghostbusters: Afterlife,2021
The Gift,2015
The Girl On the Train,2016
Gladiator,2000
Gladiator II,2024
Glass,2019
Glengarry Glen Ross,1992
A Glitch in the Matrix,2021
The Godfather,1972
The Godfather Part II,1974
The Godfather Part III: The Coppola Restoration,1990
Gods of Egypt,2016
Godzilla,2014
Gone Girl,2014
A Good Day to Die Hard,2013
The Good Liar,2019
Good Will Hunting,1998
Goosebumps 2,2018
Gran Torino,2009
Gran Turismo: Based on a True Story,2023
The Grand Budapest Hotel,2014
Gravity,2013
Grease,1978
The Great Gatsby,2013
The Great Wall,2016
The Green Inferno,2015
The Green Mile,1999
Green Room,2016
Gremlins,1984
The Grey,2012
Groundhog Day,1993
The Grudge,2020
Guardians of the Galaxy,2014
Guardians of the Galaxy Vol. 2,2017
Guardians of the Galaxy Vol. 3,2023
The Guest,2014
The Guilt Trip,2012
The Gunman,2015
Hacksaw Ridge,2016
"Hail, Caesar!",2016
Hall Pass,2011
Halloween,2018
Halloween Kills,2021
Hancock,2008
The Hangover,2009
The Hangover Part II,2011
Hansel & Gretel: Witch Hunters,2013
Happy Death Day,2017
Happy Death Day 2U,2019
The Happytime Murders,2018
Hardcore Henry,2016
Harold & Kumar Go to White Castle,2004
Harry Potter and the Chamber of Secrets,2002
Harry Potter and the Deathly Hallows – Part 1,2010
"Harry Potter and the Deathly Hallows, Part 1",2010
"Harry Potter and the Deathly Hallows, Part 2",2011
Harry Potter and the Goblet of Fire,2005
Harry Potter and the Half-Blood Prince,2009
Harry Potter and the Order of the Phoenix,2007
Harry Potter and the Prisoner of Azkaban,2004
Harry Potter and the Sorcerer's Stone,2001
The Harvey Girls,1946
The Hateful Eight,2015
A Haunting in Venice,2023
He's Just Not That Into You,2009
The Heat,2013
Hellboy,2019
Her,2014
Hercules,2014
Hidden Figures,2016
High Life,2019
The Hitchhikers Guide to the Galaxy,2005
The Hitman's Bodyguard,2017
The Hobbit: An Unexpected Journey,2012
The Hobbit: An Unexpected Journey,2012
The Hobbit: The Battle of the Five Armies,2014
The Hobbit: The Battle of the Five Armies,2014
The Hobbit: The Desolation of Smaug,2013
The Hobbit: The Desolation of Smaug,2013
Hocus Pocus,1993
The Holiday,2006
Holiday Inn,1942
Holmes & Watson,2018
Home Alone,1990
Homefront,2013
Hook,1991
Horrible Bosses,2011
The Host,2013
Hot Tub Time Machine,2010
Hot Tub Time Machine 2,2015
House Party,1990
The House With a Clock In Its Walls,2018
How the Grinch Stole Christmas: The Ultimate Edition,2015
How to Train Your Dragon 2,2014
Hugo,2011
The Hunger Games,2012
The Hunger Games: Catching Fire,2013
The Hunger Games: Mockingjay - Part 1,2014
The Hunger Games: Mockingjay - Part 2,2016
The Hunger Games: The Ballad of Songbirds and Snakes,2023
The Hunt,2020
The Hunt for Red October,1990
The Huntsman: Winter's War,2016
Hustlers,2019
"I, Frankenstein",2014
Ice Age,2002
Identity Thief,2013
If I Stay,2014
Immortals,2011
In Time,2011
Inception,2010
The Incredibles,2004
Incredibles 2,2018
Independence Day,1996
Independence Day: Resurgence,2016
Indiana Jones and the Dial of Destiny,2023
Indiana Jones and the Raiders of the Lost Ark,1981
Indiana Jones and the Temple of Doom,1984
Inferno,2016
Inglourious Basterds,2009
Inherent Vice,2014
Inside Out,2015
Inside Out 2,2024
Insidious: The Last Key,2018
Instant Family,2018
The Internship,2013
Interstellar,2014
Interview With the Vampire: The Vampire Chronicles,1994
Into the Woods,2014
The Invisible Man,2020
Iron Man 2,2010
Iron Man 3,2013
Isn't It Romantic,2019
It,2017
It Chapter Two,2019
It Follows,2015
It's a Wonderful Life,1947
It's Complicated,2009
Jack Reacher,2012
Jack Reacher: Never Go Back,2016
Jack Ryan: Shadow Recruit,2014
Jackass Presents: Bad Grandpa,2013
Jason Bourne,2016
Jaws,1975
John Wick,2014
John Wick: Chapter 2,2017
John Wick: Chapter 3 - Parabellum,2019
John Wick: Chapter 4,2023
Joker,2019
Joy,2015
Joyeux Noel,2006
The Judge,2014
Jumanji,1995
Jumanji: The Next Level,2019
Jumanji: Welcome to the Jungle,2017
Jumper,2008
Jurassic Park,1993
Jurassic Park III,2001
Jurassic World,2015
Jurassic World Dominion,2022
Jurassic World: Fallen Kingdom,2018
Justice League,2017
The Karate Kid,1984
Kelly's Heroes,2014
Kick-Ass,2010
Kick-Ass 2,2013
Kickboxer,1989
Kill Bill: Volume 1,2003
Kill Bill: Volume 2,2004
Killers of the Flower Moon,2023
Kingdom of the Planet of the Apes,2024
Kingsman: The Golden Circle,2017
Kingsman: The Secret Service,2015
A Knight's Tale,2001
Knives Out,2019
Knock at the Cabin,2023
Kong: Skull Island,2017
Krampus,2015
La La Land,2016
Labor Day,2013
Labyrinth,1986
Lara Croft Tomb Raider: The Cradle of Life,2003
Lara Croft: Tomb Raider,2001
The Last Exorcism,2010
The Last House on the Left [2009],2009
The Last of the Mohicans,2003
The Last Voyage of the Demeter,2023
The Last Witch Hunter,2015
Lawless,2012
A League of Their Own,1992
Legally Blonde,2001
"Legally Blonde 2: Red, White and Blonde",2003
The Legend of Hercules,2014
The LEGO Movie,2014
Les Misérables,2012
Let's Be Cops,2014
Lethal Weapon,1987
Letters from Iwo Jima,2019
Liar Liar,1997
Life,2017
Lights Out,2016
The Limey,1999
Limitless,2011
Lincoln,2012
The Lincoln Lawyer,2011
The Lion King,2019
Little Boy,2015
Little Fockers,2010
The Little Mermaid,1989
Live Die Repeat: Edge of Tomorrow,2014
Live Free or Die Hard,2007
Lockout,2012
The Lodge,2020
The Loft,2015
Logan,2017
London Has Fallen,2016
Lone Survivor,2013
Long Shot,2019
The Longest Ride,2015
The Lord of the Rings: The Fellowship of the Ring,2001
The Lord of the Rings: The Fellowship of the Ring,2001
The Lord of the Rings: The Return of the King,2003
The Lord of the Rings: The Two Towers,2002
The Lost Boys,1988
The Lost World: Jurassic Park,1997
Love Actually,2003
Love and Monsters,2020
"Love, Simon",2018
Lucy,2014
M3GAN,2023
Ma,2019
Mad Max,1980
Mad Max: Fury Road,2015
Magic Mike,2012
Maleficent,2014
Maleficent: Mistress of Evil,2019
Malignant,2021
Mama,2013
Mamma Mia! Here We Go Again,2018
Mamma Mia! The Movie,2008
Man of Steel,2013
Manhunter,1986
Maps to the Stars,2015
The Martian,2015
Master and Commander: The Far Side of the World,2003
The Matrix,1999
The Matrix Reloaded,2003
The Matrix Revolutions,2003
The Maze Runner,2014
Maze Runner: The Scorch Trials,2015
Mean Girls,2004
Meet Me In St. Louis,1944
The Meg,2018
Melancholia,2011
Memento,2001
Men In Black,1997
Men In Black 3,2012
Men In Black II,2002
The Menu,2022
MIB: International,2019
Mickey 17,2025
Mike and Dave Need Wedding Dates,2016
Million Dollar Baby,2004
A Million Ways to Die In the West,2014
Minions,2015
The Ministry of Ungentlemanly Warfare,2024
Minority Report,2002
Misery,1990
Miss Congeniality,2001
Miss Congeniality 2: Armed and Fabulous,2005
Missing Link,2019
Mission: Impossible - Fallout,2018
Mission: Impossible - Ghost Protocol,2011
Mission: Impossible - Rogue Nation,2015
Moana,2016
Monster Hunter,2020
"Monsters, Inc.",2001
Moon,2009
mother!,2017
Mr. & Mrs. Smith,2005
Mrs. Doubtfire,1993
Mud,2013
The Mummy,1999
The Mummy,2017
The Mummy: Tomb of the Dragon Emperor,2008
Murder On the Orient Express,2017
My Big Fat Greek Wedding 2,2016
My Cousin Vinny,1992
My Fair Lady,1964
Mystic River,2003
National Lampoon's Christmas Vacation,1989
Needful Things,1993
Neighbors,2014
Neighbors 2: Sorority Rising,2016
The Neverending Story,1984
The Nice Guys,2016
Night At the Museum: Secret of the Tomb,2014
Nightcrawler,2014
Nightmare Alley,2021
The Nightmare Before Christmas,1993
A Nightmare On Elm Street,2010
No Country for Old Men,2007
No Hard Feelings,2023
No Strings Attached,2011
No Time to Die,2021
Noah,2014
Non-Stop,2014
Nope,2022
Norm of the North,2016
The Northman,2022
Now You See Me,2013
Now You See Me 2,2016
The Nun,2018
"O Brother, Where Art Thou?",2000
Oblivion,2013
Ocean's 8,2018
Ocean's Eleven,2001
Ocean's Thirteen,2007
Ocean's Twelve,2004
Office Christmas Party,2016
Once Upon a Time...in Hollywood,2019
One True Thing,1998
Oppenheimer,2023
Orphan,2009
The Other Side of the Door,2016
The Other Woman,2014
Ouija,2014
Ouija: Origin of Evil,2016
Out of Africa,1985
Oz the Great and Powerful,2013
Pacific Rim,2013
Paddington,2015
Pain & Gain,2013
Pan's Labyrinth,2006
Paranormal Activity 4,2012
Paranormal Activity: The Ghost Dimension,2015
Paranormal Activity: The Marked Ones,2014
Parasite,2019
Passengers,2016
Patriot Games,1998
Patriots Day,2016
Pawn Sacrifice,2015
Pay It Forward,2001
Peppermint,2018
Percy Jackson: Sea of Monsters,2013
The Perfect Storm,2000
Pet Sematary,1989
Pet Sematary,2019
Pi,1998
Pirates of the Caribbean: Dead Men Tell No Tales,2017
Pirates of the Caribbean: On Stranger Tides,2011
Pitch Perfect,2012
Pitch Perfect 2,2015
Pitch Perfect 3,2017
The Place Beyond the Pines,2013
"Planes, Trains and Automobiles",1987
Pleasantville,1998
The Polar Express,2004
Poltergeist,1982
Poltergeist II: The Other Side,1986
Pompeii,2014
Poor Things,2023
The Possession,2012
Practical Magic,1998
The Prestige,2006
Pride & Prejudice & Zombies,2016
Prime,2005
Prince of Persia: The Sands of Time,2010
The Princess Bride,1987
Project Almanac,2015
Project X,2012
Prometheus,2012
Promised Land,2012
Psycho,1960
Pulp Fiction,1994
Pumpkinhead,1988
The Purge,2013
The Purge: Anarchy,2014
The Purge: Election Year,2016
Puss In Boots,2011
A Quiet Place,2018
R.I.P.D.,2013
Radio,2003
Ralph Breaks the Internet,2018
Rambo: First Blood,1982
Ran,1985
Rango,2011
Ratatouille,2007
Ratchet & Clank,2016
Ready or Not,2019
Ready Player One,2018
Red 2,2013
Red Dragon,2002
Red Riding Hood,2011
Red Rocket,2021
Red Sparrow,2018
Requiem for a Dream,2000
Reservoir Dogs,1992
Resident Evil,2002
Resident Evil: Afterlife,2010
Resident Evil: Apocalypse,2004
Resident Evil: Extinction,2007
Resident Evil: Retribution,2012
Resident Evil: The Final Chapter,2017
The Revenant,2015
Riddick,2013
Ride Along,2014
Ride Along 2,2016
Rings,2017
Rio 2,2014
Rise of the Planet of the Apes,2011
The River Wild,1994
Rock the Kasbah,2015
Rocketman,2019
The Rocky Horror Picture Show,1973
Rogue One: A Star Wars Story,2016
Roman Holiday,1953
Rough Night,2017
The Running Man,1987
Rush,2013
Sabotage,2014
Safe,2012
Safe House,2012
San Andreas,2015
The Sandlot,1993
The Santa Clause,1994
Savages,2012
Saving Mr. Banks,2013
Saving Private Ryan,1998
Saw The Final Chapter,2010
Saw X,2023
Scarface,1983
Scary Stories to Tell In the Dark,2019
Schindler's List,1993
SCOOB!,2020
The Scorpion King 3: Battle for Redemption,2012
Scream,1996
The Secret Life of Pets,2016
The Secret Life of Walter Mitty,2013
Seeking a Friend for the End of the World,2012
Self/Less,2015
Selma,2015
Seven Psychopaths,2012
Seventh Son,2015
Sex and the City: The Movie,2013
The Shack,2017
Shakespeare in Love,1998
Shaun of the Dead,2004
The Shawshank Redemption,1995
Shazam!,2019
Sherlock Gnomes,2018
Sherlock Holmes,2009
The Shining,1980
Shrek,2001
Shrek 2,2004
Shrek Forever After,2010
Shrek the Third,2007
Shutter Island,2010
Sicario,2015
Silence,2016
Silent Hill: Revelation,2014
Silent House,2012
Silver Linings Playbook,2012
"Sin City: Recut, Extended, Unrated",2005
Sing,2016
Sing 2,2021
Sinister,2012
Sisters,2015
Sixteen Candles,1984
Skyfall,2012
Skyscraper,2018
Sleepless,2017
Sleepy Hollow,1999
Smile,2022
Snatched,2017
Snitch,2013
Snow White & the Huntsman,2012
Snowden,2016
The Snowman,2017
Snowpiercer,2014
Sonic The Hedgehog,2020
Sonic the Hedgehog 2,2022
Sonic The Hedgehog 3,2024
The Sound of Music,1965
The Space Between Us,2016
Space Jam,1997
Spaceballs,1987
Spectre,2015
Speed,1994
Spell,2020
Spider-Man,2002
Spider-Man 2,2004
Spider-Man 3,2007
Spider-Man: Across the Spider-Verse,2023
Spider-Man: Far From Home,2019
Spider-Man: Homecoming,2017
Spider-Man: No Way Home,2021
Spiral: From the Book of Saw,2021
Split,2017
Spotlight,2015
The Spy Who Dumped Me,2018
A Star Is Born,2018
Star Trek Beyond,2016
Star Trek Into Darkness,2013
Star Wars: The Force Awakens,2015
Star Wars: The Rise of Skywalker,2019
Stardust,2007
Stargate,1994
Step Brothers,2008
Stephen King's Graveyard Shift,1990
Stephen King's Silver Bullet,1985
Stephen King's Thinner,1996
Straight Outta Compton,2015
Subservience,2024
Suicide Squad,2016
The Suicide Squad,2021
Sully,2016
The Sum of All Fears,2002
Sunshine,2007
The Super Mario Bros. Movie,2023
Supergirl,1984
Superman Returns,2006
Superman: The Movie,2001
Sweeney Todd: The Demon Barber of Fleet Street,2007
Swingers,1996
Taken,2009
Taken,2009
Taken 2,2012
Taken 3,2015
Tales from the Darkside: The Movie,1990
Talk To Me,2023
Taxi Driver,1976
Ted,2012
Ted 2,2015
Teenage Mutant Ninja Turtles,2014
Teenage Mutant Ninja Turtles: Out of the Shadows,2016
Tenacious D In the Pick of Destiny,2006
Tenet,2020
The Terminator,1984
Terminator 2: Judgment Day,1997
Terminator 3: Rise of the Machines,2003
Terminator Genisys,2015
Terminator: Dark Fate,2019
Texas Chainsaw,2013
The Theory of Everything,2014
There's Something About Mary,1998
This Is 40,2013
This Is the End,2013
Thor,2011
Thor,2011
Thor: Ragnarok,2017
Thor: The Dark World,2013
The Three Musketeers Part I: D'Artagnan,2023
The Three Musketeers Part II: Milady,2024
Titanic,1997
Tomorrowland,2015
Top Gun,1986
Total Recall,2019
Tower Heist,2011
The Town,2010
Toy Story 3,2010
Toy Story 4,2019
Tracks,2014
Trading Places,1983
Trainwreck,2015
Transformers: Age of Extinction,2014
Transformers: Dark of the Moon,2011
Transformers: The Last Knight,2017
Tremors,1990
Triple 9,2016
Trolls World Tour,2020
Tropic Thunder,2008
Trouble with the Curve,2012
The Truman Show,1999
Turbo,2013
The Turning,2020
The Twilight Saga: Breaking Dawn - Part 1,2011
The Twilight Saga: Breaking Dawn - Part 2,2012
Twister,1996
Twisters,2024
Tyler Perry's Boo 2! - A Madea Halloween,2017
Tyler Perry's Boo! A Madea Halloween,2016
The Unbearable Weight of Massive Talent,2022
Unbroken,2014
Uncharted,2022
Under the Tuscan Sun,2003
Underwater,2020
Unforgiven,1993
Unfriended,2015
Up In Smoke,2000
Up In the Air,2009
Upgrade,2018
Us,2019
V for Vendetta,2006
Valerian and the City of a Thousand Planets,2017
Vegas Vacation,1997
Venom,2018
Venom: Let There Be Carnage,2021
The Visit,2015
Vivarium,2020
A Walk Among the Tombstones,2014
Walk of Shame,2014
War for the Planet of the Apes,2017
Warm Bodies,2013
Water for Elephants,2011
The Way Back,2020
We Bought a Zoo,2011
We're the Millers,2013
Whiskey Tango Foxtrot,2016
Who's Afraid of Virginia Woolf?,1966
Wicked,2024
Willy Wonka and the Chocolate Factory,1971
Winter's Bone,2010
The Wizard of Oz,1939
The Wolf of Wall Street,2013
The Wolf's Call,2020
The Wolverine,2013
The Woman In Black,2012
The Woman King,2022
Wonder,2017
Wonder Woman,2017
Woodlawn,2015
World War Z,2013
The World's End,2013
Wreck-It Ralph,2012
Wrong Turn 2,2007
X-Men,2000
X-Men Origins: Wolverine,2009
X-Men: Apocalypse,2016
X-Men: Dark Phoenix,2019
X-Men: Days of Future Past,2014
X-Men: First Class,2011
X-Men: The Last Stand,2006
X2: X-Men United,2003
Yesterday,2019
The Young Messiah,2016
Zodiac,2007
Zombieland: Double Tap,2019
Zoolander No. 2,2016
3:10 to Yuma,2007
9 To 5,1980
10 Cloverfield Lane,2016
12 Angry Men,1957
13 Hours: The Secret Soldiers of Benghazi,2016
21 & Over,2013
21 Bridges,2019
21 Grams,2003
21 Jump Street,2012
22 Jump Street,2014
The 40-Year-Old Virgin,2005
47 Meters Down,2017
47 Ronin,2013
300,2007
300: Rise of an Empire,2014
1917,2019
2001: A Space Odyssey,1968
